,date,vegetable,unit,minimum,maximum,average
204,2025-06-03,गोलभेडा ठूलो(नेपाली),kg,60,70,65
205,2025-06-03,गोलभेडा ठूलो(भारतीय),kg,55,65,60
206,2025-06-03,गोलभेडा सानो(लोकल),kg,30,40,35
207,2025-06-03,गोलभेडा सानो(टनेल),kg,40,50,45
208,2025-06-03,गोलभेडा सानो(भारतीय),kg,43,48,45
209,2025-06-03,आलु रातो,kg,35,38,36
210,2025-06-03,आलु रातो(भारतीय),kg,32,35,33
211,2025-06-03,आलु रातो(मुडे),kg,37,39,38
212,2025-06-03,प्याज सुकेको (भारतीय),kg,38,40,39
213,2025-06-03,गाजर(लोकल),kg,25,35,30
214,2025-06-03,बन्दा(लोकल),kg,10,15,12
215,2025-06-03,काउली स्थानिय,kg,30,40,35
216,2025-06-03,मूला रातो,kg,30,40,35
217,2025-06-03,मूला सेतो(लोकल),kg,15,20,17
218,2025-06-03,सेतो मूला(हाइब्रीड),kg,15,20,17
219,2025-06-03,भन्टा लाम्चो,kg,10,18,14
220,2025-06-03,भन्टा डल्लो,kg,20,25,22
221,2025-06-03,बोडी(तने),kg,40,50,45
222,2025-06-03,मकै बोडी,kg,60,70,65
223,2025-06-03,मटरकोशा,kg,130,150,140
224,2025-06-03,घिउ सिमी(लोकल),kg,25,35,30
225,2025-06-03,घिउ सिमी(हाइब्रीड),kg,20,30,25
226,2025-06-03,घिउ सिमी(राजमा),kg,100,120,110
227,2025-06-03,भटमासकोशा,kg,120,130,125
228,2025-06-03,तितो करेला,kg,40,50,45
229,2025-06-03,लौका,kg,20,30,25
230,2025-06-03,परवर(तराई),kg,40,50,45
231,2025-06-03,चिचिण्डो,kg,20,30,25
232,2025-06-03,घिरौला,kg,15,25,20
233,2025-06-03,झिगूनी,kg,50,60,55
234,2025-06-03,फर्सी पाकेको,kg,35,45,40
235,2025-06-03,फर्सी हरियो(लाम्चो),kg,20,30,25
236,2025-06-03,हरियो फर्सी(डल्लो),kg,15,25,20
237,2025-06-03,भिण्डी,kg,20,25,22
238,2025-06-03,सखरखण्ड,kg,65,75,70
239,2025-06-03,पिंडालू,kg,100,120,110
240,2025-06-03,रायो साग,kg,20,30,25
241,2025-06-03,पालूगो साग,kg,25,35,30
242,2025-06-03,चमसूरको साग,kg,60,70,65
243,2025-06-03,तोरीको साग,kg,20,30,25
244,2025-06-03,मेथीको साग,kg,80,100,90
245,2025-06-03,प्याज हरियो,kg,40,50,45
246,2025-06-03,च्याउ(कन्य),kg,140,160,150
247,2025-06-03,च्याउ(डल्ले),kg,220,280,253
248,2025-06-03,कुरीलो,kg,200,350,283
249,2025-06-03,न्यूरो,kg,20,30,25
250,2025-06-03,ब्रोकाउली,kg,40,50,45
251,2025-06-03,चुकुन्दर,kg,55,65,60
252,2025-06-03,सजिवन,kg,100,110,105
253,2025-06-03,रातो बन्दा,kg,60,70,65
254,2025-06-03,जिरीको साग,kg,70,80,75
255,2025-06-03,ग्याठ कोबी,kg,40,50,45
256,2025-06-03,सेलरी,kg,110,130,120
257,2025-06-03,पार्सले,kg,300,400,350
258,2025-06-03,सौफको साग,kg,80,100,90
259,2025-06-03,पुदीना,kg,100,110,105
260,2025-06-03,गान्टे मूला,kg,30,40,35
261,2025-06-03,इमली,kg,160,170,165
262,2025-06-03,तामा,kg,90,100,95
263,2025-06-03,तोफु,kg,110,140,126
264,2025-06-03,गुन्दुक,kg,300,350,326
265,2025-06-03,स्याउ(झोले),kg,230,250,240
266,2025-06-03,स्याउ(फूजी),kg,240,300,270
267,2025-06-03,केरा,dozen,140,150,145
268,2025-06-03,कागती,kg,180,200,190
269,2025-06-03,अनार,kg,300,350,326
270,2025-06-03,आँप(मालदह),kg,55,65,60
271,2025-06-03,आँप(दसहरी),kg,70,80,75
272,2025-06-03,अंगुर(हरियो),kg,200,250,223
273,2025-06-03,अंगुर(कालो),kg,300,350,326
274,2025-06-03,तरबुजा(हरियो),kg,30,40,35
275,2025-06-03,मौसम,kg,180,200,190
276,2025-06-03,जुनार,kg,200,250,226
277,2025-06-03,भुई कटहर,per piece,160,180,170
278,2025-06-03,काक्रो(लोकल),kg,35,45,40
279,2025-06-03,काक्रो(हाइब्रीड),kg,10,20,15
280,2025-06-03,रुख कटहर,kg,55,65,60
281,2025-06-03,मेवा(भारतीय),kg,90,100,95
282,2025-06-03,लीच्ची(लोकल),kg,110,130,120
283,2025-06-03,लीच्ची(भारतीय),kg,180,210,196
284,2025-06-03,अदुवा,kg,100,120,110
285,2025-06-03,खु्र्सानी सुकेको,kg,380,420,400
286,2025-06-03,खु्र्सानी हरियो,kg,40,50,45
287,2025-06-03,खुर्सानी हरियो(बुलेट),kg,35,45,40
288,2025-06-03,खुर्सानी हरियो(माछे),kg,30,40,35
289,2025-06-03,खुर्सानी हरियो(अकबरे),kg,260,300,280
290,2025-06-03,भेडे खु्र्सानी,kg,70,80,75
291,2025-06-03,हरियो धनिया,kg,30,40,35
292,2025-06-03,लसुन सुकेको चाइनिज,kg,240,280,260
293,2025-06-03,लसुन सुकेको नेपाली,kg,150,180,163
294,2025-06-03,छ्यापी हरियो,kg,100,110,105
295,2025-06-03,ताजा माछा(रहु),kg,310,330,320
296,2025-06-03,ताजा माछा(बचुवा),kg,300,320,310
297,2025-06-03,ताजा माछा(छडी),kg,220,240,230
298,2025-06-03,राजा च्याउ,kg,280,300,290
299,2025-06-03,सिताके च्याउ,kg,800,900,850
300,2025-06-04,गोलभेडा ठूलो(नेपाली),kg,60,70,65
301,2025-06-04,गोलभेडा ठूलो(भारतीय),kg,55,65,60
302,2025-06-04,गोलभेडा सानो(लोकल),kg,29,39,34
303,2025-06-04,गोलभेडा सानो(टनेल),kg,40,50,45
304,2025-06-04,गोलभेडा सानो(भारतीय),kg,43,48,45
305,2025-06-04,आलु रातो,kg,35,38,36
306,2025-06-04,आलु रातो(भारतीय),kg,32,35,33
307,2025-06-04,आलु रातो(मुडे),kg,37,39,38
308,2025-06-04,प्याज सुकेको (भारतीय),kg,38,40,39
309,2025-06-04,गाजर(लोकल),kg,40,50,45
310,2025-06-04,बन्दा(लोकल),kg,10,15,12
311,2025-06-04,काउली स्थानिय,kg,35,45,40
312,2025-06-04,मूला रातो,kg,30,40,35
313,2025-06-04,मूला सेतो(लोकल),kg,15,20,17
314,2025-06-04,सेतो मूला(हाइब्रीड),kg,20,25,22
315,2025-06-04,भन्टा लाम्चो,kg,10,18,13
316,2025-06-04,भन्टा डल्लो,kg,20,30,25
317,2025-06-04,बोडी(तने),kg,40,50,45
318,2025-06-04,मकै बोडी,kg,65,75,70
319,2025-06-04,मटरकोशा,kg,130,150,140
320,2025-06-04,घिउ सिमी(लोकल),kg,30,40,35
321,2025-06-04,घिउ सिमी(हाइब्रीड),kg,25,35,30
322,2025-06-04,घिउ सिमी(राजमा),kg,100,120,110
323,2025-06-04,भटमासकोशा,kg,120,130,125
324,2025-06-04,तितो करेला,kg,45,50,47
