Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
110,2025-06-08,2744,GRDBL,Green Development Bank Ltd.,1275,1325,1275,1306.43,24362,31910181.8,1252.71,2001.4,417,2025-06-08T14:59:31.859918,1301.1,242,1309.83,7442.71
111,2025-06-08,2746,NMFBS,National Laghubitta Bittiya Sanstha Limited,1210,1230,1208,1223.37,3187,3900220.4,1222.26,1727,1161,2025-06-08T14:58:44.507844,1229.9,42,1223.79,16290.5
112,2025-06-08,2747,NMFBSP,National Laghubitta Bittiya Sanstha Limited Promoter,675,675,675,675,10000,6750000,675,785,631,2025-06-08T14:27:34.408952,675,7,675,675
113,2025-06-08,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,650.06,671.5,645.5,666.68,11206,7332082.1,650.06,890,639,2025-06-08T14:59:59.13331,658.1,118,654.29,6893.9
114,2025-06-08,2751,KKHC,Khanikhola Hydropower Co. Ltd.,343,356.7,340.1,342.87,18818,6491090.2,337.25,475,214,2025-06-08T14:59:14.929654,343,126,344.94,1596.79
115,2025-06-08,2754,DHPL,Dibyashwori Hydropower Ltd.,316.1,323,312,318.63,27130,8581345.4,317.67,427.2,186.3,2025-06-08T14:59:09.831954,316,179,316.3,841.18
116,2025-06-08,2757,AKPL,Arun Kabeli Power Ltd.,277,281,272,274.14,985766,271599215.5,276.92,326,157.2,2025-06-08T14:59:59.500732,274,2038,275.52,10680.34
117,2025-06-08,2758,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,1107.46,1109,1086,1089.81,10739,11759967.7,1107.46,1739,1059.3,2025-06-08T14:59:52.39332,1105,76,1095.07,13033.62
118,2025-06-08,2759,SPDL,Synergy Power Development Ltd.,368,393,367,386.98,370682,142510655.8,364.45,419.9,228.7,2025-06-08T14:59:57.880006,388,1566,384.45,4681.93
119,2025-06-08,2760,UMHL,United Modi Hydropower Ltd.,507.9,520,507.9,516.21,194994,100541903.1,514.47,545,228.1,2025-06-08T14:59:58.969142,515.6,444,515.61,6351.96
120,2025-06-08,2761,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,764,764,749.1,758.26,3174,2398936.9,764.73,1271,735,2025-06-08T14:58:33.845146,760,84,755.8,4769.85
121,2025-06-08,2766,CHL,Chhyangdi Hydropower Ltd.,283.5,305.9,280,300.44,80554,23905200.6,278.17,599.7,276,2025-06-08T14:59:56.357589,302,506,296.75,2325.27
122,2025-06-08,2767,HPPL,Himalayan Power Partner Ltd.,492,540,487.4,536.61,253584,131788098.8,497.08,711,250,2025-06-08T14:59:59.144641,537,986,519.7,5717.13
